%time,field.pos_x,field.pos_y,field.pos_z,field.rot_x,field.rot_y,field.rot_z,field.rot_w
228042000000,-0.034483909606933594,-0.15000000596046448,4.25,0.43135422468185425,0.3829445242881775,0.5122124552726746,-0.6363375186920166
228490000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.49519243836402893,-0.4963808059692383,-0.2025875598192215,-0.6836292147636414
228936000000,-0.034483909606933594,-0.15000000596046448,4.25,0.6434513926506042,-0.20630836486816406,0.6613938808441162,-0.3255231976509094
229371000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.44101065397262573,-0.674289345741272,-0.3135208487510681,-0.5025417804718018
229830000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.4421202838420868,-0.4333036243915558,-0.7207869291305542,-0.3118395507335663
230271000000,-0.034483909606933594,-0.15000000596046448,4.25,0.7006206512451172,-0.12875038385391235,0.6945062279701233,-0.10107042640447617
230707000000,-0.034483909606933594,-0.15000000596046448,4.25,0.8231909275054932,0.4981454908847809,0.272148996591568,-0.011947020888328552
231165000000,-0.034483909606933594,-0.15000000596046448,4.25,0.2530612051486969,-0.21675677597522736,0.6657874584197998,-0.6676104068756104
231606000000,-0.034483909606933594,-0.15000000596046448,4.25,0.05314801633358002,0.4262593388557434,0.617065966129303,-0.6593238115310669
232002000000,-0.034483909606933594,-0.15000000596046448,4.25,0.1417909562587738,0.618316113948822,-0.504383385181427,-0.5858138799667358
232430000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.12172993272542953,-0.5459109544754028,-0.7134995460510254,-0.42199698090553284
232871000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.5239467620849609,0.31847020983695984,0.397601455450058,-0.6826197504997253
233313000000,-0.034483909606933594,-0.15000000596046448,4.25,0.4981917440891266,0.6965634226799011,-0.5160211324691772,-0.018071122467517853
233707000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.6016658544540405,-0.266000360250473,0.4564381241798401,-0.5990878939628601
234150000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.4532100558280945,0.2900015413761139,-0.3458956480026245,-0.7686715722084045
234552000000,-0.034483909606933594,-0.15000000596046448,4.25,0.14957793056964874,0.6477076411247253,-0.09180022031068802,-0.7414000034332275
235000000000,-0.034483909606933594,-0.15000000596046448,4.25,0.05691637471318245,-0.2681035101413727,0.8230310082435608,-0.49749478697776794
235430000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.7562698721885681,-0.18335315585136414,-0.27192309498786926,-0.5661231279373169
235862000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.48736298084259033,-0.47737887501716614,-0.7293386459350586,-0.0514964796602726
236240000000,-0.034483909606933594,-0.15000000596046448,4.25,0.19777317345142365,0.5816593766212463,0.4959968328475952,-0.6136329174041748
236689000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.4941765069961548,-0.5974273681640625,-0.1911221146583557,-0.6019489765167236
237167000000,-0.034483909606933594,-0.15000000596046448,4.25,0.19006451964378357,-0.8609777092933655,0.1249677985906601,-0.45494604110717773
237616000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.0895693227648735,-0.7674108743667603,-0.5094764232635498,-0.3788030445575714
238095000000,-0.034483909606933594,-0.15000000596046448,4.25,0.4219875931739807,-0.3244982063770294,0.5877923965454102,-0.6092024445533752
238555000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.6536498665809631,0.7429150938987732,0.13375844061374664,-0.05410897359251976
239019000000,-0.034483909606933594,-0.15000000596046448,4.25,0.6607875823974609,0.5140469670295715,0.0012442508013918996,-0.5469130873680115
239469000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.6297667622566223,0.2149648666381836,0.5995793342590332,-0.44462189078330994
239946000000,-0.034483909606933594,-0.15000000596046448,4.25,0.4684080481529236,-0.8744120001792908,-0.04511549696326256,-0.11816181242465973
240394000000,-0.034483909606933594,-0.15000000596046448,4.25,0.2224196195602417,-0.14466716349124908,-0.9093377590179443,-0.32047760486602783
240865000000,-0.034483909606933594,-0.15000000596046448,4.25,0.5732243657112122,-0.37641844153404236,0.7274778485298157,-0.022338084876537323
241323000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.6552806496620178,-0.5934502482414246,0.03651086986064911,-0.46593037247657776
241775000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.10121353715658188,-0.7192296981811523,0.49356529116630554,-0.4783908724784851
242268000000,-0.034483909606933594,-0.15000000596046448,4.25,0.5463986396789551,-0.41867464780807495,-0.4586000144481659,-0.5620019435882568
242696000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.29649075865745544,0.4056641161441803,-0.6054370403289795,-0.6172323822975159
243144000000,-0.034483909606933594,-0.15000000596046448,4.25,-0.7167964577674866,0.2900296747684479,0.3204566538333893,-0.5471683144569397
